respondent_id,position,age_group,years_experience,level:reading,level:writing,level:listening,level:speaking,method_effectiveness:online_courses,method_effectiveness:private_lessons,method_effectiveness:textbooks,method_effectiveness:watching_movies,method_effectiveness:audio,method_effectiveness:speaking_club,method_effectiveness:reading_books,method_effectiveness:work_tasks,motives:online_exercises,motives:speaking_club,motives:watching_movies,motives:reading_books,motives:work_tasks,motives:gamified_learning,motives:personalised_feedback,enjoyed_school_classes,felt_pressure,grown_since_native_talk,perfection_is_key_to_career,i_know_all_i_need,english_is_not_so_important,learning_is_demaning,need_english_for_work_docs,curious_about_english_colleagues,learning_is_exhausting,speaking_is_key_to_career,need_to_feel_progress,like_colleagues,glad_to_feel_progress,must_learn,was_ok_with_native,was_ok_with_non_native,english_is_not_applicable,value_original_movies,value_original_books,learning_is_fun,want_to_improve,curious_about_english_culture,curious_about_english_system,extra_methods,obstacles
1,Software Engineer / Developer,25-34,3-5 років,4,3,3,3,2,3,4,2,2,3,3,4,3,4,4,2,4,3,5,2,3,,5,2,2,4,5,3,5,5,5,4.0,5,4,3.0,3,5,3,2,1,4,2,2,,
2,Software Engineer / Developer,25-34,6-10 років,4,4,3,3,2,4,4,4,4,4,4,4,3,4,4,4,4,4,5,2,2,5.0,5,4,1,2,5,3,3,5,5,5.0,5,5,4.0,4,3,5,5,3,4,4,4,"Зараз намагаюсь хоча б потрошки рухатись далі у вивченні англійської користуючись картками зі словами, та повторенням вивчених слів які з часом запам’ятовуються доволі непогано. Також з часом переглядаючи фільми англійською або ж просто з субтитрами ці нові вивчені слова частіше помічаєш.
В подальшому планую займатись персонально з викладачем так як думаю що це найкращий спосіб підтягнути англійську але також важливо визначити конкретну потребу та який аспект варто покращити. ","До навчання в аспірантурі я намагався вивчати англійську різними методами (effortless english, перегляд професійних курсів англійською, тренував вимову), але через травму у вивченні англійської на аспірантурі де викладачки тупо задовбувала тим щоб ми перекладали з англійської на українську статті прям сидячи біля неї вголос то бажання вивчати зникло максимально. І досі доволі важко змусити себе вчити англійську проходячи курси чи читаючи книжки. Думаю спробувати персональні заняття, хоча й теперішнього рівня вистачає для професійних потреб. "
3,Software Engineer / Developer,18-24,3-5 років,5,5,4,4,2,2,1,5,5,5,5,4,1,5,5,4,4,3,3,1,1,4.0,2,3,1,1,5,4,1,3,2,4.0,4,2,5.0,3,2,5,4,5,5,5,4,"Спроби говорити або намагится сприймати інформацію, фільми, книги, ігри англійською без попередніх знань мови.","Я ніколи не починав та, як наслідок, не припиняв вивчення англійської мови. Я усе життя не цурався читати англомовні статті або дивитись фільми англійскьою. Спочатку деякі деталі були не зрозумілі, але з часом, переводячи незнайомі слова та бачучи конкретні речення та як використовуються слова в контексті, мій рівень знань покращувався. "
4,Software Engineer / Developer,25-34,6-10 років,4,3,4,3,3,4,4,3,2,3,4,4,4,2,4,4,4,4,5,2,1,4.0,4,4,2,4,5,4,3,2,3,3.0,4,4,4.0,4,1,3,2,3,5,3,3,,"Втрата мотивацій (лінь).
Нудні заняття в групі.
Однотипні заняття з викладачем (не нейтів)."
5,Software Engineer / Developer,25-34,6-10 років,4,5,4,4,3,4,3,2,2,3,3,5,3,3,4,4,4,4,4,2,3,5.0,4,5,2,3,5,5,2,4,4,4.0,5,3,5.0,5,1,3,3,3,4,3,3,"спеціально підготовлені матеріали для drills, translating on the fly, q&a, над яким працюєш приблизно тиждень і працюєш вголос.

drills - спікер читає текст англійською і робить паузи після кожного речення і тобі потрібно повторити речення

translating on the fly - спікер читає речення українською і робить паузу, щоб ти переклав то це речення і після цього він читає це речення англійською і ти порівнюєш зі своїм варіантом

q&a - спікер читає речення англійською і потім ставить англійською питання до цього речення, ти маєш дати відповідь на питання базуючись на реченні, що було прочитано, потім спікер читає правильну відповідь і ти порівнюєш зі своїм варіантом","- коли почав працювати в укр компанії де англійська була непотрібна
- коли мав перевантаження на роботі і втрату мотивації до вивчення"
6,IT Manager / Team Lead / C-Level,25-34,3-5 років,4,4,4,4,2,5,3,3,3,4,3,5,4,5,3,2,5,4,5,3,1,3.0,5,4,1,4,4,5,2,5,3,4.0,5,5,4.0,5,1,5,5,5,5,4,4,Інтенсивні онлайн курси на закріплення окремої навички,"Так, об`єм роботи "
7,Software Engineer / Developer,55-64,11-20 років,5,3,3,3,1,5,3,4,2,4,3,3,3,4,5,4,3,3,4,2,3,5.0,4,3,1,3,5,3,1,4,3,4.0,5,4,4.0,4,4,5,5,3,4,3,3,Youtube,
8,Data / AI Specialist,45-54,менше ніж 1 рік,3,2,3,3,3,5,3,2,3,5,4,5,5,4,3,4,5,5,5,4,2,3.0,5,3,1,3,5,3,3,5,5,,5,4,,4,4,4,3,2,5,3,4,"Quest, speaking with AI",I studied German.
9,Product / Project Manager,25-34,3-5 років,4,4,4,4,3,5,3,5,3,4,5,5,4,4,3,4,5,3,5,3,2,5.0,4,4,1,1,5,4,1,4,4,4.0,5,4,5.0,5,1,3,3,5,5,3,3,,"Не було потреби її вдосконалювати чи використовувати. Перерва у 3 роки, поки не отримала роботу в ІТ. "
10,HR / L&D / Talent / Recruitment Specialist,35-44,3-5 років,5,4,5,4,3,4,2,3,3,5,4,5,4,4,5,4,3,5,5,4,1,5.0,4,4,1,3,4,3,3,4,5,5.0,5,4,4.0,4,3,5,3,4,5,5,3,,
